iteration,best_fitness,mean_fitness,std_fitness,elapsed_eval,elapsed_update
0,2924919.9450642946,10409981.360798724,3630991.5968179666,0.016100978999929794,5.834699959450518e-05
1,2924919.9450642946,7953950.514260983,2721638.4886360536,0.010093350999795803,4.555399982564268e-05
2,2924919.9450642946,7399205.573454258,2372832.243576456,0.009754163999787124,4.7090999942156486e-05
3,2924919.9450642946,6631782.392587665,1878964.465696396,0.0106426500001362,4.4224999783182284e-05
4,2083252.7143784687,5682519.974450922,2456737.3034732766,0.009242229999927076,5.004800004826393e-05
5,2083252.7143784687,4944432.724782875,1453503.2020694362,0.009276018000036856,3.7124000300536864e-05
6,1999933.1855781514,4591007.3355872445,1585053.7300597986,0.009321131999968202,3.210000022590975e-05
7,1999933.1855781514,4897564.452722183,1447060.8768038943,0.009189685000364989,3.276899997217697e-05
8,1999933.1855781514,4310798.796488725,1398197.1074730475,0.009329350999905728,3.8921999930607853e-05
9,1999933.1855781514,3707551.39664804,984405.1341319272,0.009605807999832905,3.208999987691641e-05
10,1884869.3121070932,3773175.1315547205,1210991.976362335,0.009328533000370953,3.478600001471932e-05
11,1804262.5810845934,3439977.3422064553,1272272.5425750169,0.009375623999858362,3.224000010959571e-05
12,1727174.4619316282,3516551.7955930447,1554511.5663260499,0.00921534300005078,8.856999966155854e-05
13,1713958.7348120522,3374282.921471513,1262889.4223791042,0.009248302999822045,3.276999996160157e-05
14,1684718.2621567259,3379395.2020937083,1363505.9774625122,0.009226599000157876,3.110100033154595e-05
15,1684718.2621567259,3468300.1243223636,1309156.7865350212,0.00920473700034563,3.013200011992012e-05
16,1547954.6858463092,3197710.6584415347,1182785.9745844363,0.00960356999985379,3.089099982389598e-05
17,1547954.6858463092,3026309.664942164,1114648.7973608067,0.009245645999726548,3.233999996155035e-05
18,1547954.6858463092,2796541.679741983,908949.648179329,0.009179437000057078,3.9400999867211794e-05
19,1547954.6858463092,2721423.4567226446,938503.3872920452,0.010250358000121196,3.8361999941116665e-05
20,1497383.5983461232,2639199.7202438936,1118586.7505553553,0.009320581999872957,3.332899996166816e-05
21,1497383.5983461232,2544391.0809364663,890968.1219329621,0.009262713999760308,3.264900033173035e-05
22,1441909.648950545,2639822.4720731247,1370491.4841544582,0.009204347000377311,3.117100004601525e-05
23,1441909.648950545,2598264.721766306,1173127.4470533568,0.009164955999949598,3.134100006718654e-05
24,1441909.648950545,2452835.2414799947,954057.3154398808,0.009185170999899128,3.128199978164048e-05
25,1355209.631869539,2331908.1704972317,981019.2948541433,0.011273517000063293,3.3149000046250876e-05
26,1293723.2688216507,2177743.6726071634,853418.5850298331,0.010980180999922595,6.668700007139705e-05
27,1293723.2688216507,2143781.2399645327,866767.443559168,0.009910160000345059,5.072699968877714e-05
28,1293723.2688216507,2204446.225513891,1011937.9001222003,0.009581737999724282,4.858900001636357e-05
29,1293723.2688216507,1981622.7218071453,859861.3711356461,0.009324325999841676,5.012800011172658e-05
30,1266360.4670447952,1901715.2624967047,811484.1541747717,0.009261884999887116,4.337600012149778e-05
31,1240717.318640742,1847059.5218302456,717457.8967983009,0.00926213499997175,3.593600013118703e-05
32,1171455.6104865137,1813966.0997914136,665921.1463312057,0.009339997999632033,3.298900037407293e-05
33,1171455.6104865137,1830437.4878797266,910713.3889183982,0.009230593999745906,3.352900012032478e-05
34,1171455.6104865137,1766120.8050776112,760251.1002377787,0.009588110000095185,3.216999994037906e-05
35,1171455.6104865137,1576603.2889266366,499091.15693378064,0.009160261000033643,3.379800000402611e-05
36,1133896.264745143,1630635.7186618822,619761.8200955852,0.009231322999767144,4.606299989973195e-05
37,1123422.3505908046,1643143.458652363,670732.1807144635,0.009651770999880682,3.245000016249833e-05
38,1079573.1797446182,1576095.3870896015,934674.138656308,0.009248491000107606,3.3737999729055446e-05
39,1073589.155277134,1447249.2304058797,499057.80494234146,0.009217170999818336,3.299900026831892e-05
40,1048794.5382736658,1413991.1922833046,557809.521570766,0.009217848999924172,3.176099971824442e-05
41,1015028.2638322668,1470898.6287065905,689487.9299768662,0.00919429899977331,4.0778999846224906e-05
42,990977.5404867476,1348092.897133561,543249.8553485879,0.00922582000021066,3.254000012020697e-05
43,938849.6635964691,1261191.0806584945,517491.22387898876,0.009334824000234221,3.144099991914118e-05
44,906202.5680383592,1211788.399720544,464834.8180917563,0.0091767910003,3.0622000394942006e-05
45,895858.2339880012,1176001.107709895,440446.6407610734,0.009633962999942014,3.0840999897918664e-05
46,861733.4989331723,1136919.1090458957,370664.85445874825,0.0092585100001088,3.223000021534972e-05
47,828167.45750596,1085566.0775517232,369272.0360685838,0.009538861000237375,3.1240999760484556e-05
48,776532.1581701847,1001891.1140780386,358844.9636640648,0.00927425999998377,4.433499998413026e-05
49,744196.1234906939,967743.7546943384,339073.4578630713,0.009327941999799805,3.391800009922008e-05
50,733966.4463382377,921140.9598992582,314938.579889959,0.009414646000095672,3.340800003570621e-05
51,718475.155703833,862904.0696215513,210210.00553391565,0.009346250000362488,3.337899988764548e-05
52,710596.6188186178,902828.0924086841,441781.3600635892,0.009274160000131815,3.122099997199257e-05
53,708476.246895167,862493.7638569635,296836.34914934554,0.009411295000063546,3.114099990852992e-05
54,695542.6883126074,849284.3827064728,219056.81201547413,0.00939204799988147,3.432700032135472e-05
55,694589.8185949097,815007.2755681954,186248.95111545298,0.009190334000322764,4.3466000079206424e-05
56,690456.4373166905,842503.393531146,281615.01252420613,0.00917559200024698,3.239999978177366e-05
57,686454.6505949582,788765.2550108461,196976.48255918463,0.009225750000041444,3.159100015182048e-05
58,685148.0231998129,787096.2622406727,198202.36349322821,0.009627300999909494,3.1431000024895184e-05
59,685148.0231998129,752431.6027917116,115306.34434803133,0.0093250260001696,4.0749999698164174e-05
60,682204.3969267507,740203.8479573929,61586.65183442877,0.009307847999934893,3.222999976060237e-05
61,682204.3969267507,754442.9214599251,145667.7653990141,0.00923045399986222,3.306899998278823e-05
62,682204.3969267507,729400.7847626832,54429.96129462278,0.00941001099999994,3.2190000183618395e-05
63,682204.3969267507,728968.3603528584,76205.86258220454,0.00922822599977735,3.1212000067171175e-05
64,681987.5454310267,733556.9763164632,82910.56745267687,0.00913241599982939,3.1100999876798596e-05
65,681987.5454310267,718640.4016265998,60052.28779797217,0.009183622999898944,3.0312000035337405e-05
66,681490.8139258847,717791.0843253739,54069.893989681506,0.00918495099995198,3.053299997191061e-05
67,681490.8139258847,717378.6470678686,61722.408651056816,0.009201191000101971,3.052300007766462e-05
68,680404.873989502,716241.4309446422,54551.32987121859,0.009191152999846963,3.119099983450724e-05
69,680404.873989502,714785.7296155038,70424.61296993964,0.009117155000240018,9.134600031757145e-05
70,680333.335028324,721161.6296509779,101612.2470730891,0.009537592000015138,3.173100003550644e-05
71,680333.335028324,719949.8960827399,91403.18988812984,0.009222415000294859,3.2780000310594914e-05
72,680315.2689499356,705182.697520842,55233.62947781597,0.00940140100010467,3.159100015182048e-05
73,680055.1264671873,728074.9389011329,138711.65859206425,0.009742138000092382,3.1661000321037136e-05
74,679434.9687196055,696188.6208993463,31210.26295122967,0.00927775499985728,3.224000010959571e-05
75,679434.9687196055,710495.2978646934,84300.8230405671,0.009460368999953062,3.105199994024588e-05
76,679434.9687196055,702900.3281562014,70659.73267931276,0.009207741999944119,3.147100005662651e-05
77,679347.2991852566,695691.4587631753,48289.67894908338,0.009209629999986646,3.061200004594866e-05
78,679347.2991852566,698131.5905609835,50618.06781066023,0.009144051000021136,3.122099997199257e-05
