benchmark,strategy,seed,w,c1,c2,n_particles,n_iterations,best_fitness,total_time,stop_reason
sphere_d2,V0_sequential,42,0.4,1.0,1.0,30,300,3.830795589631187e-13,0.0034476900000299793,tolerance
sphere_d2,V0_sequential,123,0.4,1.0,1.0,30,300,5.057430116606271e-13,0.0027338950000057594,tolerance
sphere_d2,V0_sequential,7,0.4,1.0,1.0,30,300,5.289786341143169e-13,0.00309704299996838,tolerance
sphere_d2,V0_sequential,99,0.4,1.0,1.0,30,300,5.761420288694129e-14,0.002974619999974948,tolerance
sphere_d2,V0_sequential,314,0.4,1.0,1.0,30,300,3.986394698516974e-13,0.0029620099999760896,tolerance
sphere_d2,V0_sequential,42,0.4,1.0,1.49618,30,300,2.5363420222764568e-14,0.003439780000007886,tolerance
sphere_d2,V0_sequential,123,0.4,1.0,1.49618,30,300,7.535056524786538e-13,0.0032418459999803417,tolerance
sphere_d2,V0_sequential,7,0.4,1.0,1.49618,30,300,6.84334421788681e-13,0.003436549000014111,tolerance
sphere_d2,V0_sequential,99,0.4,1.0,1.49618,30,300,8.857320688135985e-13,0.002907208999999966,tolerance
sphere_d2,V0_sequential,314,0.4,1.0,1.49618,30,300,4.007611341523994e-13,0.003099652999992486,tolerance
sphere_d2,V0_sequential,42,0.4,1.0,2.0,30,300,4.103407548125068e-13,0.0037220010000282855,tolerance
sphere_d2,V0_sequential,123,0.4,1.0,2.0,30,300,2.4605692897419264e-13,0.003435644000035154,tolerance
sphere_d2,V0_sequential,7,0.4,1.0,2.0,30,300,1.6706935370414762e-13,0.0036106829999766887,tolerance
sphere_d2,V0_sequential,99,0.4,1.0,2.0,30,300,2.46052681291275e-13,0.0031859339999869007,tolerance
sphere_d2,V0_sequential,314,0.4,1.0,2.0,30,300,7.759975622335845e-13,0.004289472000039041,tolerance
sphere_d2,V0_sequential,42,0.4,1.49618,1.0,30,300,9.474657711697266e-13,0.003293756999994457,tolerance
sphere_d2,V0_sequential,123,0.4,1.49618,1.0,30,300,8.859811584935033e-13,0.002546120999966206,tolerance
sphere_d2,V0_sequential,7,0.4,1.49618,1.0,30,300,3.6064882351915436e-13,0.0031853600000317783,tolerance
sphere_d2,V0_sequential,99,0.4,1.49618,1.0,30,300,1.1493730862561983e-13,0.0032155499999930726,tolerance
sphere_d2,V0_sequential,314,0.4,1.49618,1.0,30,300,9.683115647993137e-13,0.0034922450000181016,tolerance
sphere_d2,V0_sequential,42,0.4,1.49618,1.49618,30,300,9.665430903887847e-13,0.003337298000019473,tolerance
sphere_d2,V0_sequential,123,0.4,1.49618,1.49618,30,300,3.230387995285539e-13,0.003145774000017809,tolerance
sphere_d2,V0_sequential,7,0.4,1.49618,1.49618,30,300,5.145889391053378e-15,0.0028441879999832054,tolerance
sphere_d2,V0_sequential,99,0.4,1.49618,1.49618,30,300,1.170662014361968e-13,0.0034592000000088774,tolerance
sphere_d2,V0_sequential,314,0.4,1.49618,1.49618,30,300,3.911631357711755e-13,0.003319448000013381,tolerance
sphere_d2,V0_sequential,42,0.4,1.49618,2.0,30,300,8.434755104970413e-13,0.003581671999995706,tolerance
sphere_d2,V0_sequential,123,0.4,1.49618,2.0,30,300,3.688738836063435e-13,0.003684415000009267,tolerance
sphere_d2,V0_sequential,7,0.4,1.49618,2.0,30,300,7.191717967109531e-13,0.003925970000011603,tolerance
sphere_d2,V0_sequential,99,0.4,1.49618,2.0,30,300,7.176882599854082e-13,0.004087961999971412,tolerance
sphere_d2,V0_sequential,314,0.4,1.49618,2.0,30,300,1.9315517757226985e-13,0.0041537840000387405,tolerance
sphere_d2,V0_sequential,42,0.4,2.0,1.0,30,300,2.8005103195678847e-13,0.0028339069999674393,tolerance
sphere_d2,V0_sequential,123,0.4,2.0,1.0,30,300,3.728117506518313e-13,0.00300747100004628,tolerance
sphere_d2,V0_sequential,7,0.4,2.0,1.0,30,300,7.573013394674162e-13,0.0033322670000188737,tolerance
sphere_d2,V0_sequential,99,0.4,2.0,1.0,30,300,2.1547929612683809e-13,0.0032992160000162585,tolerance
sphere_d2,V0_sequential,314,0.4,2.0,1.0,30,300,3.851185445720429e-13,0.0030881229999977222,tolerance
sphere_d2,V0_sequential,42,0.4,2.0,1.49618,30,300,4.0386756289603835e-14,0.0036923540000088906,tolerance
sphere_d2,V0_sequential,123,0.4,2.0,1.49618,30,300,3.4351228003396854e-13,0.004116724000027716,tolerance
sphere_d2,V0_sequential,7,0.4,2.0,1.49618,30,300,4.988133787534634e-13,0.003390248000016527,tolerance
sphere_d2,V0_sequential,99,0.4,2.0,1.49618,30,300,4.411327092735319e-13,0.004076773000008416,tolerance
sphere_d2,V0_sequential,314,0.4,2.0,1.49618,30,300,3.325506499688369e-13,0.003700704999971549,tolerance
sphere_d2,V0_sequential,42,0.4,2.0,2.0,30,300,1.0425718589755659e-14,0.004908079000017551,tolerance
sphere_d2,V0_sequential,123,0.4,2.0,2.0,30,300,7.640474751931606e-14,0.0042046450000157165,tolerance
sphere_d2,V0_sequential,7,0.4,2.0,2.0,30,300,5.614928416372308e-13,0.004132324000011067,tolerance
sphere_d2,V0_sequential,99,0.4,2.0,2.0,30,300,7.997988996845033e-15,0.00541332800003147,tolerance
sphere_d2,V0_sequential,314,0.4,2.0,2.0,30,300,2.3002374062417247e-13,0.004839908999997533,tolerance
sphere_d2,V0_sequential,42,0.7298,1.0,1.0,30,300,7.263941574226432e-13,0.007569003000014618,tolerance
sphere_d2,V0_sequential,123,0.7298,1.0,1.0,30,300,3.327967047304877e-13,0.00754294200004324,tolerance
sphere_d2,V0_sequential,7,0.7298,1.0,1.0,30,300,3.676343783018524e-13,0.0066346439999733775,tolerance
sphere_d2,V0_sequential,99,0.7298,1.0,1.0,30,300,6.900585010689584e-13,0.00844526999998152,tolerance
sphere_d2,V0_sequential,314,0.7298,1.0,1.0,30,300,8.28549021717256e-13,0.006242526999983511,tolerance
sphere_d2,V0_sequential,42,0.7298,1.0,1.49618,30,300,3.6005886106973347e-13,0.008447271000022738,tolerance
sphere_d2,V0_sequential,123,0.7298,1.0,1.49618,30,300,5.067177977828259e-13,0.008333189000040875,tolerance
sphere_d2,V0_sequential,7,0.7298,1.0,1.49618,30,300,6.213803331009524e-13,0.009090044000004127,tolerance
sphere_d2,V0_sequential,99,0.7298,1.0,1.49618,30,300,7.664713360316525e-13,0.008388400000001184,tolerance
sphere_d2,V0_sequential,314,0.7298,1.0,1.49618,30,300,9.176435548637219e-14,0.009392048999984581,tolerance
sphere_d2,V0_sequential,42,0.7298,1.0,2.0,30,300,7.610764231527797e-13,0.0097341620000293,tolerance
sphere_d2,V0_sequential,123,0.7298,1.0,2.0,30,300,4.10147418979735e-13,0.009613030000025446,tolerance
sphere_d2,V0_sequential,7,0.7298,1.0,2.0,30,300,1.0906205237375013e-13,0.0116051539999944,tolerance
sphere_d2,V0_sequential,99,0.7298,1.0,2.0,30,300,8.62825912380705e-13,0.011573614000042198,tolerance
sphere_d2,V0_sequential,314,0.7298,1.0,2.0,30,300,1.363702519559678e-13,0.011374920000037037,tolerance
sphere_d2,V0_sequential,42,0.7298,1.49618,1.0,30,300,7.703786248335392e-13,0.0073162580000030175,tolerance
sphere_d2,V0_sequential,123,0.7298,1.49618,1.0,30,300,2.285038564728379e-13,0.006846418999998605,tolerance
sphere_d2,V0_sequential,7,0.7298,1.49618,1.0,30,300,5.451064745430712e-13,0.008323387999951137,tolerance
sphere_d2,V0_sequential,99,0.7298,1.49618,1.0,30,300,5.955513545060525e-13,0.01027529800001048,tolerance
sphere_d2,V0_sequential,314,0.7298,1.49618,1.0,30,300,2.921408349679615e-13,0.007618684000021858,tolerance
sphere_d2,V0_sequential,42,0.7298,1.49618,1.49618,30,300,4.3681821475961447e-13,0.009037482999985968,tolerance
sphere_d2,V0_sequential,123,0.7298,1.49618,1.49618,30,300,3.220073090603127e-13,0.0094906770000307,tolerance
sphere_d2,V0_sequential,7,0.7298,1.49618,1.49618,30,300,5.173370419366349e-13,0.00998416099997712,tolerance
sphere_d2,V0_sequential,99,0.7298,1.49618,1.49618,30,300,7.832018647200162e-13,0.010632284999985586,tolerance
sphere_d2,V0_sequential,314,0.7298,1.49618,1.49618,30,300,5.181517542949558e-13,0.00980246800003215,tolerance
sphere_d2,V0_sequential,42,0.7298,1.49618,2.0,30,300,2.2912808144809265e-13,0.0111352449999913,tolerance
sphere_d2,V0_sequential,123,0.7298,1.49618,2.0,30,300,9.933563494783904e-13,0.011448491999999533,tolerance
sphere_d2,V0_sequential,7,0.7298,1.49618,2.0,30,300,9.433351362270144e-13,0.01256312399999615,tolerance
sphere_d2,V0_sequential,99,0.7298,1.49618,2.0,30,300,8.801123586890486e-13,0.011899956000036127,tolerance
sphere_d2,V0_sequential,314,0.7298,1.49618,2.0,30,300,1.8721192586864987e-13,0.011819354000010662,tolerance
sphere_d2,V0_sequential,42,0.7298,2.0,1.0,30,300,5.589244923297809e-13,0.01019148599999653,tolerance
sphere_d2,V0_sequential,123,0.7298,2.0,1.0,30,300,6.501465688584352e-13,0.010799528999996255,tolerance
sphere_d2,V0_sequential,7,0.7298,2.0,1.0,30,300,9.949894894394426e-13,0.011374639999985448,tolerance
sphere_d2,V0_sequential,99,0.7298,2.0,1.0,30,300,2.9400761633000937e-13,0.009784437999996953,tolerance
